file	path_id	type	name	bytes
f6ce33b91f6ffe54cadacbf4bb112440	2	GameObject	DebugUIButton	5388
f71b599ebf431cf47a3bb98f4be91a23	1	Texture2D	@ popup btn close_black_press_02	9460
f71b599ebf431cf47a3bb98f4be91a23	2	Sprite	@ popup btn close_black_press_02	9460
f7eceb3fb84e2f647bc4c8d1aa66d26d	1	TextAsset	DefaultMemorySettings	4236
f7f5e36797cf0c1408561665c67b179b	1	GameObject	DebugUIHBox	4532
f858190320f49a9409e88727dc411d04	1	Texture2D	Campaign_Imgfont_Defeat	12740
f876f1b9e4c879646a76d10d990164a5	1	GameObject	Item	5008
f876f1b9e4c879646a76d10d990164a5	2	GameObject	NXPSettlementFundItemViewItemDetail	5008
f8dbaa7706e0c2b4a80cb7766b74b02e	1	Texture2D	common_titlebar_close_pressed	9724
f9643779de378bf419547987848e0759	1	Texture2D	icon_hover_30	6324
f9643779de378bf419547987848e0759	2	Sprite	icon_hover_30	6324
f9aa57ec677bb5a4a9bce08fae8eb006	1	Texture2D	icon_switch_h20_disable	5824
f9aa57ec677bb5a4a9bce08fae8eb006	2	Sprite	icon_switch_h20_disable	5824
f9d6f86e92bf32541a59e77402db62c1	1	Texture2D	InputFieldBg	8776
f9d6f86e92bf32541a59e77402db62c1	2	Sprite	InputFieldBg	8776
fab6c43f06f5ee74d9013851adda15a5	1	Texture2D	btn_cancel	10488
fab6c43f06f5ee74d9013851adda15a5	2	Sprite	btn_cancel	10488
fade42e8bc714b018fac513c043d323b	1	TextAsset	LineBreaking Following Characters	4412
faff1002558f6d74d86da0ae366c6072	1	GameObject	ClickArea	4756
fb93dafbec5a95742b987f906ba8f4e7	1	GameObject	ScrollArea	12024
fb93dafbec5a95742b987f906ba8f4e7	2	GameObject	Panel	12024
fb93dafbec5a95742b987f906ba8f4e7	3	GameObject	Sliding Area	12024
fb93dafbec5a95742b987f906ba8f4e7	4	GameObject	OKButton	12024
fb93dafbec5a95742b987f906ba8f4e7	5	GameObject	Content	12024
fb93dafbec5a95742b987f906ba8f4e7	6	GameObject	Text	12024
fb93dafbec5a95742b987f906ba8f4e7	7	GameObject	Buttons	12024
fb93dafbec5a95742b987f906ba8f4e7	8	GameObject	Scrollbar Vertical	12024
fb93dafbec5a95742b987f906ba8f4e7	9	GameObject	SelectPrompt	12024
fb93dafbec5a95742b987f906ba8f4e7	10	GameObject	Viewport	12024
fb93dafbec5a95742b987f906ba8f4e7	11	GameObject	Handle	12024
fb93dafbec5a95742b987f906ba8f4e7	12	GameObject	SearchIcon	12024
fb93dafbec5a95742b987f906ba8f4e7	13	GameObject	SearchBar	12024
fb93dafbec5a95742b987f906ba8f4e7	14	GameObject	Text	12024
fb93dafbec5a95742b987f906ba8f4e7	15	GameObject	Text	12024
fb93dafbec5a95742b987f906ba8f4e7	16	GameObject	CancelButton	12024
fb93dafbec5a95742b987f906ba8f4e7	17	GameObject	ObjectReferencePicker	12024
fb93dafbec5a95742b987f906ba8f4e7	18	GameObject	ScrollView	12024
fba29076610fdbb46a561345dd2920bf	1	Material	FX_MAT_Water_01	6948
fc3471de937c8d046aaa8a507c9403a5	1	GameObject	CloseButton	16216
fc3471de937c8d046aaa8a507c9403a5	2	GameObject	Title	16216
fc3471de937c8d046aaa8a507c9403a5	3	GameObject	Header	16216
fc3471de937c8d046aaa8a507c9403a5	4	GameObject	Group2	16216
fc3471de937c8d046aaa8a507c9403a5	5	GameObject	Group1	16216
fc3471de937c8d046aaa8a507c9403a5	6	GameObject	GRBRating	16216
fc3471de937c8d046aaa8a507c9403a5	7	GameObject	CompanyName	16216
fc3471de937c8d046aaa8a507c9403a5	8	GameObject	Overlay	16216
fc3471de937c8d046aaa8a507c9403a5	9	GameObject	GameRating	16216
fc3471de937c8d046aaa8a507c9403a5	10	GameObject	CompanyNameTitle	16216
fc3471de937c8d046aaa8a507c9403a5	11	GameObject	Window	16216
fc3471de937c8d046aaa8a507c9403a5	12	GameObject	RegisterNumber	16216
fc3471de937c8d046aaa8a507c9403a5	13	GameObject	RepresentativeNumberLayout	16216
fc3471de937c8d046aaa8a507c9403a5	14	GameObject	VerticalSeparator	16216
fc3471de937c8d046aaa8a507c9403a5	15	GameObject	NXPGameInfoView	16216
fc3471de937c8d046aaa8a507c9403a5	16	GameObject	GameRatingLayout	16216
fc3471de937c8d046aaa8a507c9403a5	17	GameObject	GameNameTitle	16216
fc3471de937c8d046aaa8a507c9403a5	18	GameObject	RegisterNumberLayout	16216
fc3471de937c8d046aaa8a507c9403a5	19	GameObject	Contents	16216
fc3471de937c8d046aaa8a507c9403a5	20	GameObject	GameName	16216
fc3471de937c8d046aaa8a507c9403a5	21	GameObject	Icon	16216
fc3471de937c8d046aaa8a507c9403a5	22	GameObject	GameNameLayout	16216
fc3471de937c8d046aaa8a507c9403a5	23	GameObject	RepresentativeNumberTitle	16216
fc3471de937c8d046aaa8a507c9403a5	24	GameObject	GameRatingTitle	16216
fc3471de937c8d046aaa8a507c9403a5	25	GameObject	RegisterNumberTitle	16216
fc3471de937c8d046aaa8a507c9403a5	26	GameObject	Description	16216
fc3471de937c8d046aaa8a507c9403a5	27	GameObject	CompanyNameLayout	16216
fc3471de937c8d046aaa8a507c9403a5	28	GameObject	RepresentativeNumber	16216
fc3471de937c8d046aaa8a507c9403a5	29	GameObject	Separator	16216
fc3471de937c8d046aaa8a507c9403a5	30	GameObject	BackButton	16216
fcdf12882b9d69c46a990be13e1d515f	1	Texture2D	Icon_baseplate_pc	5148
fcdf12882b9d69c46a990be13e1d515f	2	Sprite	Icon_baseplate_pc	5148
fd49e6175dc0a1f4f83526a3bbfc30b7	1	Texture2D	DownArrow	8884
fd49e6175dc0a1f4f83526a3bbfc30b7	2	Sprite	DownArrow	8884
fd8278f579748ba4593ed63793b4453c	1	Texture2D	icon_hover_15	6320
fd8278f579748ba4593ed63793b4453c	2	Sprite	icon_hover_15	6320
fdb02b0a0ff82ba4481c8997ddb87477	1	Texture2D	ui_border_20px_filled_top	21196
fdb02b0a0ff82ba4481c8997ddb87477	2	Sprite	ui_border_20px_filled_top	21196
fe397a3bbc8ad1d4993e79c83ee18cc1	1	GameObject	NXPExposureHistoryAlertView	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	2	GameObject	Window	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	3	GameObject	Description	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	4	GameObject	ButtonGroup	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	5	GameObject	CancelButton	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	6	GameObject	Contents	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	7	GameObject	CancelButtonText	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	8	GameObject	VerticalSeparator	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	9	GameObject	Title	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	10	GameObject	ConfirmButtonText	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	11	GameObject	Overlay	9472
fe397a3bbc8ad1d4993e79c83ee18cc1	12	GameObject	ConfirmButton	9472
feaf51593bb12c44190fd6282306619d	1	Texture2D	InputFieldBackground	5616
globalgamemanagers.assets.split0	2	Material	Sprites-Default	1048576
globalgamemanagers.assets.split0	3	Material	CafeOutlineOnly	1048576
globalgamemanagers.assets.split0	4	Material	UnderCover_ObjectOverlayMaterial	1048576
globalgamemanagers.assets.split0	5	Material	UnderCover_PlayerOverlayMaterial	1048576
globalgamemanagers.assets.split0	6	Material	UnderCover_UnitOverlayMaterial	1048576
globalgamemanagers.assets.split0	7	Texture2D	LDR_LLL1_9	1048576
globalgamemanagers.assets.split0	8	Texture2D	Medium01	1048576
globalgamemanagers.assets.split0	9	Texture2D	LDR_LLL1_23	1048576
globalgamemanagers.assets.split0	10	Texture2D	LDR_LLL1_2	1048576
globalgamemanagers.assets.split0	11	Texture2D	LDR_LLL1_17	1048576
globalgamemanagers.assets.split0	12	Texture2D	LDR_LLL1_31	1048576
globalgamemanagers.assets.split0	13	Texture2D	LDR_LLL1_25	1048576
globalgamemanagers.assets.split0	14	Texture2D	LDR_LLL1_4	1048576
globalgamemanagers.assets.split0	15	Texture2D	LDR_LLL1_6	1048576
globalgamemanagers.assets.split0	16	Texture2D	LDR_LLL1_14	1048576
globalgamemanagers.assets.split0	17	Texture2D	LDR_LLL1_15	1048576
globalgamemanagers.assets.split0	18	Texture2D	Medium05	1048576
globalgamemanagers.assets.split0	19	Texture2D	SearchTex	1048576
globalgamemanagers.assets.split0	20	Texture2D	Large02	1048576
globalgamemanagers.assets.split0	21	Texture2D	Thin01	1048576
globalgamemanagers.assets.split0	22	Texture2D	LDR_LLL1_3	1048576
globalgamemanagers.assets.split0	23	Texture2D	LDR_LLL1_0	1048576
globalgamemanagers.assets.split0	24	Texture2D	LDR_LLL1_30	1048576
globalgamemanagers.assets.split0	25	Texture2D	LDR_LLL1_10	1048576
globalgamemanagers.assets.split0	26	Texture2D	Medium03	1048576
globalgamemanagers.assets.split0	27	Texture2D	LDR_LLL1_16	1048576
globalgamemanagers.assets.split0	28	Texture2D	LDR_LLL1_24	1048576
globalgamemanagers.assets.split0	29	Texture2D	Medium06	1048576
globalgamemanagers.assets.split0	30	Texture2D	Medium04	1048576
globalgamemanagers.assets.split0	31	Texture2D	LDR_LLL1_12	1048576
globalgamemanagers.assets.split0	32	Texture2D	LDR_LLL1_7	1048576
globalgamemanagers.assets.split0	33	Texture2D	LDR_LLL1_27	1048576
globalgamemanagers.assets.split0	34	Texture2D	LDR_LLL1_20	1048576
globalgamemanagers.assets.split0	35	Texture2D	LDR_LLL1_26	1048576
globalgamemanagers.assets.split0	36	Texture2D	AreaTex	1048576
globalgamemanagers.assets.split0	37	Texture2D	LDR_LLL1_18	1048576
globalgamemanagers.assets.split0	38	Texture2D	LDR_LLL1_19	1048576
globalgamemanagers.assets.split0	39	Texture2D	LDR_LLL1_1	1048576
globalgamemanagers.assets.split0	40	Texture2D	LDR_LLL1_13	1048576
globalgamemanagers.assets.split0	41	Texture2D	LDR_LLL1_21	1048576
globalgamemanagers.assets.split0	42	Texture2D	Thin02	1048576
globalgamemanagers.assets.split0	43	Texture2D	LDR_LLL1_5	1048576
globalgamemanagers.assets.split0	44	Texture2D	LDR_LLL1_8	1048576
globalgamemanagers.assets.split0	45	Texture2D	Medium02	1048576
globalgamemanagers.assets.split0	46	Texture2D	LDR_LLL1_22	1048576
globalgamemanagers.assets.split0	47	Texture2D	LDR_LLL1_29	1048576
globalgamemanagers.assets.split0	48	Texture2D	LDR_LLL1_11	1048576
globalgamemanagers.assets.split0	49	Texture2D	Large01	1048576
globalgamemanagers.assets.split0	50	Texture2D	LDR_LLL1_28	1048576
globalgamemanagers.assets.split1	2	Material	Sprites-Default	1048576
globalgamemanagers.assets.split1	3	Material	CafeOutlineOnly	1048576
globalgamemanagers.assets.split1	4	Material	UnderCover_ObjectOverlayMaterial	1048576
globalgamemanagers.assets.split1	5	Material	UnderCover_PlayerOverlayMaterial	1048576
globalgamemanagers.assets.split1	6	Material	UnderCover_UnitOverlayMaterial	1048576
globalgamemanagers.assets.split1	7	Texture2D	LDR_LLL1_9	1048576
globalgamemanagers.assets.split1	8	Texture2D	Medium01	1048576
globalgamemanagers.assets.split1	9	Texture2D	LDR_LLL1_23	1048576
globalgamemanagers.assets.split1	10	Texture2D	LDR_LLL1_2	1048576
globalgamemanagers.assets.split1	11	Texture2D	LDR_LLL1_17	1048576
globalgamemanagers.assets.split1	12	Texture2D	LDR_LLL1_31	1048576
globalgamemanagers.assets.split1	13	Texture2D	LDR_LLL1_25	1048576
globalgamemanagers.assets.split1	14	Texture2D	LDR_LLL1_4	1048576
globalgamemanagers.assets.split1	15	Texture2D	LDR_LLL1_6	1048576
globalgamemanagers.assets.split1	16	Texture2D	LDR_LLL1_14	1048576
globalgamemanagers.assets.split1	17	Texture2D	LDR_LLL1_15	1048576
globalgamemanagers.assets.split1	18	Texture2D	Medium05	1048576
globalgamemanagers.assets.split1	19	Texture2D	SearchTex	1048576
globalgamemanagers.assets.split1	20	Texture2D	Large02	1048576
globalgamemanagers.assets.split1	21	Texture2D	Thin01	1048576
globalgamemanagers.assets.split1	22	Texture2D	LDR_LLL1_3	1048576
globalgamemanagers.assets.split1	23	Texture2D	LDR_LLL1_0	1048576
globalgamemanagers.assets.split1	24	Texture2D	LDR_LLL1_30	1048576
globalgamemanagers.assets.split1	25	Texture2D	LDR_LLL1_10	1048576
